Título PT-BR,Descrição,Nota TMDb,Data Lançamento,Gêneros,Duração (min)
O Senhor dos Anéis: As Duas Torres,"Após a captura de Merry e Pippy pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para destruir o anel e descobrem que estão sendo perseguidos pelo misterioso Gollum. Enquanto isso, Aragorn, o elfo e arqueiro Legolas e o anão Gimli partem para resgatar os hobbits sequestrados e chegam ao reino de Rohan, onde o rei Theoden foi vítima de uma maldição mortal de Saruman.",8.404,2002-12-18,"Aventura, Fantasia, Ação",180
Clube da Luta,Um homem deprimido que sofre de insônia conhece um estranho vendedor de sabonetes chamado Tyler Durden. Eles formam um clube clandestino com regras rígidas onde lutam com outros homens cansados de suas vidas mundanas. Mas sua parceria perfeita é comprometida quando Marla chama a atenção de Tyler.,8.439,1999-10-15,Drama,139
O Senhor dos Anéis: A Sociedade do Anel,"Em uma terra fantástica e única, um hobbit recebe de presente de seu tio um anel mágico e maligno que precisa ser destruído antes que caia nas mãos do mal. Para isso, o hobbit Frodo tem um caminho árduo pela frente, onde encontra perigo, medo e seres bizarros. Ao seu lado para o cumprimento desta jornada, ele aos poucos pode contar com outros hobbits, um elfo, um anão, dois humanos e um mago, totalizando nove pessoas que formam a Sociedade do Anel.",8.42,2001-12-18,"Aventura, Fantasia, Ação",179
Forrest Gump: O Contador de Histórias,"Quarenta anos da história dos Estados Unidos, vistos pelos olhos de Forrest Gump, um rapaz com QI abaixo da média e com boas intenções. Por obra do acaso, ele consegue participar de momentos cruciais, como a Guerra do Vietnã e o Caso Watergate, mas continua pensando no seu amor de infância, Jenny Curran.",8.468,1994-06-23,"Comédia, Drama, Romance",142
Três Homens em Conflito,"Durante o auge da Guerra Civil, um misterioso pistoleiro vaga pela fronteira do oeste. Ele não possui um lar, lealdade ou companhia... Até que encontra dois estrangeiros, que são tão brutos e desapegados quanto ele. Unidos pelo destino, os três homens juntam suas forças para tentar encontrar uma fortuna em ouro roubado. Mas trabalho em equipe não é uma coisa natural para voluntariosos pistoleiros, e eles logo descobrem que seu maior desafio é concentrar-se em sua perigosa missão — e em manterem-se vivos — atravessando um país arrasado pela guerra.",8.463,1966-12-22,Faroeste,163
Soorarai Pottru,"Nedumaaran Rajangam ""Maara"" se propõe a fazer o homem comum voar em aviões de carreira, mas no processo, vai enfrentar a indústria de capital intensivo do mundo e vários inimigos que surgirão em seu caminho.",7.704,2020-11-12,"Drama, Ação",149
Matrix,"Thomas Anderson, um jovem programador de computador que mora em um cubículo escuro, é atormentado por estranhos pesadelos nos quais encontra-se conectado por cabos e contra sua vontade, em um imenso sistema de computadores do futuro. Em todas essas ocasiões, acorda gritando no exato momento em que os eletrodos estão para penetrar em seu cérebro. À medida que o sonho se repete, Anderson começa a ter dúvidas sobre a realidade. Por meio do encontro com os misteriosos Morpheus e Trinity, Thomas descobre que é, assim como outras pessoas, vítima da Matrix, um sistema inteligente e artificial que manipula a mente das pessoas, criando a ilusão de um mundo real enquanto usa os cérebros e corpos dos indivíduos para produzir energia. Morpheus, entretanto, está convencido de que Thomas é Neo, o aguardado messias capaz de enfrentar a Matrix e conduzir as pessoas de volta à realidade e à liberdade.",8.224,1999-03-31,"Ação, Ficção científica",136
Os Bons Companheiros,"A história real de Henry Hill, um garoto meio irlandês e meio siciliano do Brooklyn que é adotado por gangsters do bairro ainda jovem e sobe na hierarquia de uma família da máfia sob a orientação de Jimmy Conway.",8.455,1990-09-12,"Drama, Crime",146
Guerra nas Estrelas: O Império Contra-Ataca,"As forças imperais comandadas por Darth Vader lançam um ataque contra os membros da resistência, que são obrigados a fugir. Enquanto isso Luke Skywalker tenta encontrar o Mestre Yoda, que poderá ensiná-lo a dominar a ""Força"" e torná-lo um cavaleiro jedi. No entanto, Darth Vader planeja levá-lo para o lado negro da ""Força"".",8.393,1980-05-20,"Aventura, Ação, Ficção científica",124
Um Estranho no Ninho,"Randle Patrick McMurphy é um malandro que, após ser preso, se finge de louco para ir a um hospital psiquiátrico e assim esquivar-se a uma porção de trabalhos forçados na prisão. Lá ele começa a influenciar os outros internos e começa a sofrer oposição da cruel e sádica enfermeira Mildred Ratched. Com forte poder persuasivo, McMurphy instaura uma reviravolta na clínica, não sabendo o que isto pode lhe custar.",8.413,1975-11-19,Drama,133
Top Gun: Maverick,"Depois de mais de 30 anos de serviço como um dos principais aviadores da Marinha, Pete ""Maverick"" Mitchell está de volta, rompendo os limites como um piloto de testes corajoso. No mundo contemporâneo das guerras tecnológicas, Maverick enfrenta drones e prova que o fator humano ainda é essencial.",8.178,2022-05-21,"Ação, Drama",131
Interestelar,"As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar.",8.454,2014-11-05,"Aventura, Drama, Ficção científica",169
Cidade de Deus,"Buscapé é um jovem morador da Cidade de Deus que cresce em meio à violência. Com medo de se tornar um bandido, enxerga na fotografia uma oportunidade de ter uma vida digna.",8.429,2002-08-30,"Drama, Crime",130
A Viagem de Chihiro,"Chihiro e seus pais estão se mudando para uma cidade diferente. A caminho da nova casa, o pai decide pegar um atalho. Eles se deparam com uma mesa repleta de comida, embora ninguém esteja por perto. Chihiro sente o perigo, mas seus pais começam a comer. Quando anoitece, eles se transformam em porcos. Agora, apenas Chihiro pode salvá-los",8.537,2001-07-20,"Animação, Família, Fantasia",126
O Resgate do Soldado Ryan,"Ao desembarcar na Normandia, no dia 6 de junho de 1944, o capitão Miller recebe a missão de comandar um grupo do segundo batalhão para o resgate do soldado James Ryan, caçula de quatro irmãos, dentre os quais três morreram em combate. Por ordens do chefe George C. Marshall, eles precisam procurar o soldado e garantir o seu retorno, com vida, para casa.",8.218,1998-07-24,"Drama, História, Guerra",170
À Espera de um Milagre,"Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um gentil e gigante prisioneiro com poderes sobrenaturais, traz um senso de espírito e humanidade aos seus guardas e colegas de cela.",8.504,1999-12-10,"Fantasia, Drama, Crime",189
Seven: Os Sete Crimes Capitais,"Quando, a ponto de se aposentar, o detetive William Somerset aborda o último caso com a ajuda do recém-transferido David Mills, eles descobrem uma série de assassinatos. Logo percebem que estão lidando com um assassino que tem como alvo pessoas que ele acredita representar os sete pecados capitais.",8.375,1995-09-22,"Crime, Mistério, Thriller",127
O Exterminador do Futuro 2: O Julgamento Final,"O jovem John Connor é a chave para a vitória da civilização sobre uma rebelião de robôs do futuro. No entanto, ele torna-se alvo de T-1000, um exterminador que pode assumir a forma que desejar e que foi enviado do futuro para matá-lo. Outro exterminador, o renovado T-800, também é enviado de volta ao passado para proteger o garoto. Quando John e sua mãe embarcam na fuga com T-800, o menino cria um vínculo forte e inesperado com o robô.",8.124,1991-07-03,"Ação, Thriller, Ficção científica",136
O Silêncio dos Inocentes,"Clarice Starling é uma das melhores estudantes da academia de treinamento do FBI. Jack Crawford quer que Clarice entreviste o Dr. Hannibal Lecter, um psiquiatra brilhante e também um psicopata violento, que cumpre prisão perpétua por vários atos de assassinato e canibalismo. Crawford acredita que Lecter pode ter uma visão em um caso e que Starling, como uma mulher jovem e atraente, pode ser a isca para atraí-lo.",8.345,1991-02-14,"Crime, Drama, Thriller",118
Guerra nas Estrelas,A princesa Leia é mantida refém pelas forças imperiais comandadas por Darth Vader. Luke Skywalker e Han Solo precisam libertá-la e restaurar a liberdade e a justiça na galáxia.,8.204,1977-05-25,"Aventura, Ação, Ficção científica",121
Os Sete Samurais,"Um bando de bandidos aterroriza os habitantes de uma pequena cidade, saqueando-os periodicamente sem piedade. Para repelir estes ataques, os aldeões decidem contratar mercenários. Por fim, obtêm os serviços de 7 guerreiros, 7 samurais dispostos a defendê-los em troca apenas de abrigo e comida.",8.457,1954-04-26,"Ação, Drama",207
A Felicidade Não Se Compra,"Em Bedford Falls, no Natal, George Bailey, que sempre ajudou a todos, pensa em se suicidar saltando de uma ponte, em razão das maquinações de Henry Potter, o homem mais rico da região. Mas tantas pessoas oram por ele que Clarence, um anjo que espera há 220 anos para ganhar asas, é mandado à Terra para tentar fazer George mudar de ideia, mostrando sua importância para todos através de flashbacks.",8.277,1946-12-20,"Drama, Família, Fantasia",130
Asuran,"O filho de um fazendeiro de uma casta desprivilegiada mata um senhorio rico de uma casta superior. Será que o fazendeiro, um pai amoroso e pacifista de cor, será capaz de salvar seu filho de sangue quente é o resto da história.",7.7,2019-10-02,"Ação, Drama",139
Parasita,"No futuro de 1992, após a Terceira Guerra Mundial, o cientista Paul Dean desenvolve um estranho parasita canibal que, num acidente, acaba entrando dentro do seu próprio corpo, onde passa a crescer. Perseguido por um agente do governo que quer recuperar o parasita, o cientista-hospedeiro passa a fugir de cidade em cidade em busca de uma cura capaz de destruir o monstro sem causar dano a si mesmo.",4.8,1982-03-12,"Terror, Ficção científica",85
Whiplash: Em Busca da Perfeição,"Andrew sonha em ser o melhor baterista de sua geração. Ele chama a atenção do impiedoso mestre do jazz Terence Fletcher, que ultrapassa os limites e transforma seu sonho em uma obsessão, colocando em risco a saúde física e mental do jovem músico.",8.375,2014-10-10,"Drama, Música",107
Sardar Udham,"A história acompanha as 2 décadas que o revolucionário Udham Singh que, marcado pelo massacre de Jallianwala Bagh, passou a planear o assassinato do homem responsável pelo massacre. Ele escapou para as montanhas do Afeganistão, chegando a Londres em 1933.  Carregou uma ferida não curada por 21 anos e assassinou Michael O'Dwyer em 13 março de1940, o homem no comando dos assuntos em Punjab, em 1919, para se vingar pelas vidas perdidas de seus irmãos.",7.1,2021-10-16,"Crime, Drama, História",162
O Grande Truque,"No século 19, em Londres, dois amigos ilusionistas e mágicos, Alfred Borden e Rupert Angier, acabam construindo uma rivalidade, uma batalha por supremacia, que se estende ao longo dos anos e que se transforma em obsessão, cujos resultados serão inevitavelmente trágicos.",8.203,2006-10-17,"Drama, Mistério, Ficção científica",130
Os Infiltrados,"Billy Costigan, um jovem policial, recebe a missão de se infiltrar na máfia, mais especificamente no grupo comandado por Frank Costello. Billy conquista sua confiança ao mesmo tempo em que Colin Sullivan, um criminoso que atuou na polícia como informante de Costello, também ascende dentro da corporação. Tanto Billy quanto Colin se sentem aflitos devido à vida dupla que levam. Mas quando a máfia e a polícia descobrem que há um espião entre eles, a vida de ambos passa a correr perigo.",8.2,2006-10-04,"Drama, Thriller, Crime",151
O Pianista,"Um pianista judeu polonês vê Varsóvia mudar gradualmente à medida que a Segunda Guerra Mundial começa. Szpilman é forçado a ir para o Gueto de Varsóvia, mas depois é separado de sua família durante a Operação Reinhard. A partir deste momento até que os prisioneiros dos campos de concentração sejam liberados, Szpilman se esconde em vários locais entre as ruínas de Varsóvia.",8.378,2002-09-17,"Drama, Guerra",150
Gladiator: O Desafio,"Um luta para vencer, o outro luta para sobreviver. Dois amigos são colocados um contra o outro por um promotor de lutas corrupto em uma batalha brutal que ameaça destruir sua amizade e suas vidas.",7.594,1992-03-06,"Ação, Drama",101
A Outra História Americana,"Derek busca vazão para suas agruras tornando-se líder de uma gangue de racistas. A violência o leva a um assassinato, e ele é condenado pelo crime. Três anos mais tarde, ele sai da prisão e tem que convencer seu irmão, que está prestes a assumir a liderança do grupo, a não trilhar o mesmo caminho.",8.3,1998-07-01,Drama,119
Os Suspeitos,"Um etetive interroga um dos únicos sobreviventes de uma explosão no cais que provocou dezenas de mortes. O suspeito conta uma história sobre os eventos que levaram ele e mais quatro criminosos ao local do crime, deixando dúvidas sobre a verdade.",8.176,1995-07-19,"Drama, Crime, Thriller",106
O Profissional,"Mathilda tem apenas 12 anos de idade mas já conhece o lado obscuro da vida: seu pai abusivo guarda drogas para policiais corruptos e a mãe a negligencia. O vizinho Léon gosta de cuidar de plantas, mas é um assassino de aluguel para o gângster Tony. Quando sua família é assassinada por um agente antidrogas desonesto, Mathilda se une a um relutante Léon para aprender o negócio mortal e vingar a morte da família.",8.301,1994-09-14,"Crime, Drama, Ação",111
O Rei Leão,"Mufasa, o Rei Leão, e a rainha Sarabi apresentam ao reino o herdeiro do trono, Simba. O recém-nascido recebe a bênção do sábio babuíno Rafiki, mas ao crescer é envolvido nas artimanhas de seu tio Scar, o invejoso e maquiavélico irmão de Mufasa, que planeja livrar-se do sobrinho e herdar o trono.",8.257,1994-06-15,"Família, Animação, Drama",89
Cinema Paradiso,"Um diretor de cinema relembra como, em sua infância, se apaixonou pelo filmes no cinema de seu vilarejo e iniciou uma profunda amizade com o projetista.",8.435,1988-11-17,"Drama, Romance",155
O Túmulo dos Vagalumes,"A história gira em torno da vida do jovem Seita e sua irmã mais nova, Setsuko. Enquanto seu pai combate os americanos em alto-mar, Seita e Setsuko vivem com a mãe, sempre às voltas com os constantes alertas de ataques aéreos. Após perderem a mãe num intenso bombardeio, Seita e Setsuko são obrigados a amadurecer rapidamente e enfrentar situações difíceis e penosas... ainda assim, fazem de tudo para encontrar alegria e satisfação nas menores coisas, como um banho de mar ou observando vagalumes à noite. Mas a fome crescente, as doenças e a insensibilidade dos adultos tornam a vida de ambos cada vez mais dura, e as perspectivas para o futuro ficam cada vez mais sombrias...",7.857,2005-11-01,Drama,148
De Volta para o Futuro,"Marty McFly, um típico adolescente americano dos anos 80, acidentalmente é enviado de volta ao ano de 1955 em um carro modificado para ser uma máquino do tempo, inventada por um cientista louco. Durante sua fantástica e maluca viagem no tempo, McFly tem que fazer com que seus futuros pais se encontrem e se apaixonem, para que assim ele possa ir de volta para o futuro.",8.319,1985-07-03,"Aventura, Comédia, Ficção científica",115
Apocalypse Now,"Durante a guerra do Vietnã, o Capitão Willard recebe como missão ir ao Camboja para assassinar um Boina Verde renegado, o Coronel Kurtz. Este vive no meio de uma tribo local e é venerado como um deus. Mas, chegado ao seu destino, o Capitão Willard descobre que a sua missão é bem diferente do que imaginara.",8.272,1979-05-19,"Drama, Guerra",196
Alien: O Oitavo Passageiro,"Quando a tripulação da sonda espacial Nostromo responde a um pedido de socorro vindo de um planeta inóspito, eles descobrem uma forma de vida mortal que se reproduz dentro de humanos. Agora, a tripulação deve lutar para permanecer viva e impedir que a criatura chegue até a Terra.",8.163,1979-05-25,"Terror, Ficção científica",116
Era uma Vez no Oeste,"Enquanto os construtores ferroviários marcham imparavelmente através do deserto de Arizona a caminho do mar, Jill chega à pequena cidade de Flagstone com a intenção de começar uma nova vida.",8.281,1968-12-21,"Drama, Faroeste",166
Psicose,"Marion Crane é uma secretária que rouba 40 mil dólares da imobiliária onde trabalha para se casar e começar uma nova vida. Durante a fuga à carro, ela enfrenta uma forte tempestade, erra o caminho e chega em um velho hotel. O estabelecimento é administrado por um sujeito atencioso chamado Norman Bates, que nutre um forte respeito e temor por sua mãe. Marion decide passar a noite no local, sem saber o perigo que a cerca.",8.422,1960-06-22,"Terror, Thriller, Mistério",109
Janela Indiscreta,"Em Greenwich Village, Nova York, L.B. Jeffries, um fotógrafo profissional, está de molho em seu apartamento por ter quebrado a perna enquanto trabalhava. Como não tem muito o que fazer, fica bisbilhotando a vida dos seus vizinhos com um binóculo. Porém vê algumas coisas que o fazem suspeitar que um assassinato foi cometido.",8.353,1954-08-01,"Thriller, Mistério",112
Tempos Modernos,"Sujeito ao ritmo de produção infernal da fábrica, o Vagabundo tem um súbito colapso nervoso. Do hospital, ele vai para a prisão e fica desempregado, sempre cercado pela industrialização moderna. Certo dia, ele se depara com uma menina órfã.",8.282,1936-02-05,"Comédia, Drama, Romance",87
Luzes da Cidade,"Um vagabundo amável se apaixona por uma mulher cega que vende flores nas ruas e o confunde com um milionário. Ao descobrir que ela e a avó serão despejadas, o vagabundo faz uma série de tentativas para lhes proporcionar o dinheiro de que precisam, mas todas terminam em um fracasso humilhante.",8.269,1931-02-06,"Comédia, Drama, Romance",87
Cafarnaum,"Aos doze anos, Zain carrega uma série de responsabilidades: é ele quem cuida de seus irmãos no cortiço em que vive junto com os pais, que estão sempre ausentes graças ao trabalho em uma mercearia. Quando sua irmã de onze é forçada a se casar com um homem mais velho, o menino fica extremamente revoltado e decide deixar a família. Ele passa a viver nas ruas junto aos refugiados e outras crianças que, diferentemente dele, não chegaram lá por conta própria. Sobrevive graças à sua esperteza nas ruas, cuida da refugiada etíope Rahil e seu bebê Yonas. É preso por um crime violento e, enquanto cumpria uma pena de cinco anos, ele processa seus pais por negligência.",8.147,2018-09-20,Drama,127
Coringa,"Isolado, intimidado e desconsiderado pela sociedade, o fracassado comediante Arthur Fleck inicia seu caminho como uma mente criminosa após assassinar três homens em pleno metrô. Sua ação inicia um movimento popular contra a elite de Gotham City, da qual Thomas Wayne é seu maior representante.",8.138,2019-10-01,"Crime, Thriller, Drama",122
Your Name,"Mitsuha é a filha do prefeito de uma pequena cidade, mas sonha em tentar a sorte em Tóquio. Taki trabalha em um restaurante em Tóquio e deseja largar o seu emprego. Os dois não se conhecem, mas estão conectados pelas imagens de seus sonhos.",8.484,2016-08-26,"Animação, Romance, Drama",106
Homem-Aranha: No Aranhaverso,"Miles Morales é um jovem negro do Brooklyn que se tornou o Homem-Aranha inspirado no legado de Peter Parker, já falecido. Entretanto, ao visitar o túmulo de seu ídolo em uma noite chuvosa, ele é surpreendido com a presença do próprio Peter, vestindo o traje do herói aracnídeo sob um sobretudo. A surpresa fica ainda maior quando Miles descobre que ele veio de uma dimensão paralela, assim como outras variações do Homem-Aranha.",8.397,2018-12-06,"Animação, Ação, Aventura, Ficção científica",117
Vingadores: Ultimato,"Após os eventos devastadores de ""Vingadores: Guerra Infinita"", o universo está em ruínas devido aos esforços do Titã Louco, Thanos. Com a ajuda de aliados remanescentes, os Vingadores devem se reunir mais uma vez a fim de desfazer as ações de Thanos e restaurar a ordem no universo de uma vez por todas, não importando as consequências.",8.2,2019-04-24,"Aventura, Ficção científica, Ação",181
Vingadores: Guerra Infinita,"Homem de Ferro, Thor, Hulk e os Vingadores se unem para combater seu inimigo mais poderoso, o maligno Thanos. Em uma missão para coletar todas as seis pedras infinitas, Thanos planeja usá-las para infligir sua vontade maléfica sobre a realidade.",8.2,2018-04-25,"Aventura, Ação, Ficção científica",182
Viva: A Vida é uma Festa,"Apesar da desconcertante proibição da música imposta pela sua família há várias gerações, Miguel sonha em tornar-se um músico de sucesso como o seu ídolo, Ernesto de la Cruz. Desesperado para provar o seu talento, Miguel encontra-se na deslumbrante e colorida Terra dos Mortos, seguindo uma misteriosa cadeia de acontecimentos. Pelo caminho, conhece o encantador Hector e, juntos, partem numa extraordinária viagem para desvendar a verdadeira história por detrás da história da família de Miguel.",8.204,2017-10-27,"Família, Animação, Música, Aventura",109
Django Livre,"Django é um escravo, comprado pelo caçador de recompensas alemão Dr. King Schultz para auxiliá-lo em uma missão. A dupla acaba fazendo amizade e, após resolver os problemas do caçador, parte em busca por Broomhilda, esposa de Django. Para isso, eles devem enfrentar o vilão Calvin Candie, proprietário da escrava.",8.183,2012-12-25,"Drama, Faroeste",165
Batman: O Cavaleiro das Trevas Ressurge,"Após ser culpado pela morte de Harvey Dent e passar de herói a vilão, Batman desaparece. As coisas mudam com a chegada de uma ladra misteriosa, a Mulher-Gato, e Bane, um terrorista mascarado, que fazem Batman abandonar seu exílio forçado.",7.785,2012-07-17,"Ação, Crime, Drama, Thriller",165
Drishyam 2,Uma história envolvente sobre uma investigação e uma família ameaçada por ela. Será que Georgekutty será capaz de proteger sua família desta vez?,7.526,2021-02-19,"Thriller, Crime, Drama",153
3 Idiotas,"Farhan e Raju partem em busca de seu amigo e colega de faculdade há muito desaparecido, Rancho. No decorrer desta aventura, serão confrontados com uma antiga aposta esquecida, um casamento que terão de entrar de penetras e um funeral que não correrá como planejado.",7.997,2009-12-23,"Drama, Comédia",164
K.G.F: Capítulo 2,"A terra sangrenta de Kolar Gold Fields (KGF) tem um novo senhor agora - Rocky, cujo nome causa medo no coração de seus inimigos.  Seus aliados olham para Rocky como seu Salvador, o governo o vê como uma ameaça à lei e à justiça;  os inimigos clamam por vingança e conspiram para sua queda.  Batalhas mais sangrentas e dias mais sombrios aguardam enquanto Rocky continua em sua busca pela supremacia.",7.432,2022-04-14,"Ação, Thriller, Aventura, Crime",168
Shershaah,"A história do bravo soldado indiano Capitão Vikram Batra, seu espírito indomável e coragem inabalável em expulsar os soldados paquistaneses do território indiano, contribuíram imensamente para que a Índia vencesse a Guerra de Kargil em 1999.",7.2,2021-08-12,"Ação, Drama, Thriller, Guerra",135
WALL-E,"No ano 2800, num planeta Terra devastado e sem vida, depois de centenas de anos solitários a fazer aquilo para que foi construído - limpar o planeta de lixo - o pequeno robô WALL-E descobre uma nova missão na sua vida quando conhece uma moderna e brilhante robô exploradora chamada EVE. Os dois vão viajar pela galáxia e viver uma aventura emocionante e inesquecível.",8.098,2008-06-22,"Animação, Família, Ficção científica",97
A Vida dos Outros,"Georg Dreyman é o maior dramaturgo da Alemanha Oriental, sendo por muitos considerado o modelo perfeito de cidadão para o país, já que não contesta o governo nem seu regime político. Apesar disto o ministro Bruno Hempf acha por bem acompanhar seus passos, para descobrir se Dreyman tem algo a esconder. Ele passa esta tarefa para Anton Grubitz, que a princípio não vê nada de errado com Dreyman mas é alertado por Gerd Wiesler, seu subordinado, de que ele deveria ser vigiado. Grubitz passa a tarefa a Wiesler, que monta uma estrutura em que Dreyman e sua namorada, a atriz Christa-Maria Sieland, são vigiados 24 horas.",8.034,2006-03-23,"Drama, Thriller",138
Oldboy: Dias de Vingança,"Um arrogante executivo, Joe Ducett, é sequestrado e passa 20 anos em cativeiro, sem saber quem o sequestrou ou o motivo. Enquanto isso, ele descobre, pela televisão, que sua ex-esposa foi assassinada e que ele é o principal suspeito. Certo dia, Joe é libertado e, com a ajuda de uma assistente social, ele tem apenas três dias para descobrir a verdade sobre seu sequestro.",5.9,2013-11-14,"Drama, Thriller, Mistério, Ação",104
Amnésia,"Leonard está caçando o homem que estuprou e matou sua esposa. Ele tem dificuldades em encontrar o assassino pois sofre de uma forma intratável de perda de memória. Mesmo que ele possa lembrar detalhes da vida antes do acidente, Leonard não consegue lembrar o que aconteceu quinze minutos atrás, onde está indo ou a razão.",8.178,2000-10-11,"Mistério, Thriller",113
Beleza Americana,"Lester Burham não aguenta mais o emprego e se sente impotente perante sua vida. Casado com Carolyn e pai da ""aborrecente"" Jane, o melhor momento de seu dia quando se masturba no chuveiro. Até que conhece Angela Hayes, amiga de Jane. Encantado com sua beleza e disposto a dar a volta por cima, Lester pede demissão e começa a reconstruir sua vida, com a ajuda de seu vizinho Ricky.",8.008,1999-09-15,Drama,122
Princesa Mononoke,"Um príncipe infectado por uma doença sabe que irá morrer, a menos que encontre a cura. Sendo a sua última esperança, segue para o leste e, durante o caminho, encontra animais da floresta lutando contra a sua exploração, liderados pela princesa Mononoke.",8.329,1997-07-12,"Aventura, Fantasia, Animação",134
